researcher_name,institution
Michael Bonner,Johns Hopkins University
Leyla Isik,Johns Hopkins University
Nancy Kanwisher,MIT
Dan Yamins,Stanford University
Jim DiCarlo,MIT
Winrich Freiwald,Rockefeller University
Jack L. Gallant,UC Berkeley
David J. Heeger,New York University
Gabriel Kreiman,Harvard University
Margaret S. Livingstone,Harvard University
J. Anthony Movshon,New York University
Bruno A. Olshausen,UC Berkeley
Tomaso A. Poggio,MIT
Nicole C. Rust,University of Pennsylvania
Terrence J. Sejnowski,Salk Institute
Pawan Sinha,MIT
Doris Y. Tsao,UC Berkeley
Matthias Bethge,University of T체bingen
Matteo Carandini,UCL
Kenneth D. Harris,UCL
Zoe Kourtzi,University of Cambridge
Li Zhaoping,University of T체bingen
Pieter R. Roelfsema,Netherlands Institute for Neuroscience
Shimon Ullman,Weizmann Institute of Science
Laurenz Wiskott,Ruhr University Bochum
Davide Zoccolan,SISSA
Sripati P. Arun,IISc Bangalore
Talia Konkle,Harvard University
Aude Oliva,MIT
Radoslaw Martin Cichy,Freie Universit채t Berlin
Nikolaus Kriegeskorte,Columbia University
Tim C Kietzmann,University of Osnabr체ck
Johannes Mehrer,EPFL
Jacob Prince,Harvard University
Martin Schrimpf,EPFL
Martin N. Hebart,Justus Liebig University
Chris Baker,NIH
Dwight Kravitz,George Washington University
Gemma Roig,Goethe University
John D Murray,Yale University
Evelina Fedorenko,MIT
Kohitij Kar,York University
Daniel Bear,Stanford University
Pouya Bashivan,McGill University
Carsen Stringer,HHMI Janelia
Kenneth Harris,UCL
Apurva Ratan Murty,Georgia Tech
Aran Nayebi,CMU
Meenakshi Khosla,UCSD
Katharina Dobs,Justus Liebig University
Dobromir Rahnev, Georgia Tech
Edmund T. Rolls, University of Oxford
Earl K. Miller, MIT
David Freedman, University of Chicago
Jonathan Pillow, Princeton University
Jacob L Yates, UC Berkeley
Jonathan Peirce, University of Nottingham
Odelia Schwartz, University of Miami
Michael McCloskey, Johns Hopkins University





