scholar_id,scholar_name,institution,country
001,Michael Bonner,Johns Hopkins University,USA
002,Leyla Isik,Johns Hopkins University,USA
003,Nancy Kanwisher,MIT,USA
004,Dan Yamins,Stanford University,USA
005,Jim DiCarlo,MIT,USA
006,Winrich Freiwald,Rockefeller University,USA
007,Jack L. Gallant,UC Berkeley,USA
008,David J. Heeger,New York University,USA
009,Gabriel Kreiman,Harvard University,USA
010,Margaret S. Livingstone,Harvard University,USA
011,J. Anthony Movshon,New York University,USA
012,Bruno A. Olshausen,UC Berkeley,USA
013,Tomaso A. Poggio,MIT,USA
014,Nicole C. Rust,University of Pennsylvania,USA
015,Terrence J. Sejnowski,Salk Institute,USA
016,Pawan Sinha,MIT,USA
017,Doris Y. Tsao,UC Berkeley,USA
018,Matthias Bethge,University of T체bingen,Germany
019,Matteo Carandini,UCL,UK
020,Kenneth D. Harris,UCL,UK
021,Zoe Kourtzi,University of Cambridge,UK
022,Li Zhaoping,University of T체bingen,Germany
023,Pieter R. Roelfsema,Netherlands Institute for Neuroscience,Netherlands
024,Shimon Ullman,Weizmann Institute of Science,Israel
025,Laurenz Wiskott,Ruhr University Bochum,Germany
026,Davide Zoccolan,SISSA,Italy
027,Sripati P. Arun,IISc Bangalore,India
028,Talia Konkle,Harvard University,USA
029,Aude Oliva,MIT,USA
030,Radoslaw Martin Cichy,Freie Universit채t Berlin,Germany
031,Nikolaus Kriegeskorte,Columbia University,USA
032,Tim C Kietzmann,University of Osnabr체ck,Germany
033,Johannes Mehrer,EPFL,Switzerland
034,Jacob Prince,Harvard University,USA
035,Martin Schrimpf,EPFL,Switzerland
036,Martin N. Hebart,Justus Liebig University,Germany
037,Chris Baker,NIH,USA
038,Dwight Kravitz,George Washington University,USA
039,Gemma Roig,Goethe University,Germany
040,John D Murray,Yale University,USA
041,Evelina Fedorenko,MIT,USA
042,Kohitij Kar,York University,Canada
043,Daniel Bear,Stanford University,USA
044,Pouya Bashivan,McGill University,Canada
045,Carsen Stringer,HHMI Janelia,USA
046,Kenneth Harris,UCL,UK
047,Apurva Ratan Murty,Georgia Tech,USA
048,Aran Nayebi,CMU,USA
049,Meenakshi Khosla,UCSD,USA
050,Katharina Dobs,Justus Liebig University,Germany
051,Dobromir Rahnev, Georgia Tech,USA
052,Edmund T. Rolls, University of Oxford,UK
053,Earl K. Miller, MIT,USA
054,David Freedman, University of Chicago,USA
055,Jonathan Pillow, Princeton University,USA
056,Jacob L Yates, UC Berkeley,USA
057,Jonathan Peirce, University of Nottingham,UK
058,Odelia Schwartz, University of Miami,USA
059,Michael McCloskey, Johns Hopkins University,USA





